City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.41,79,96,7.63,MH,1713371149
1,port-aux-francais,-49.35,70.2167,3.84,98,100,11.83,TF,1713371149
2,east london,-33.0153,27.9116,22.52,73,0,3.09,ZA,1713371152
3,bilibino,68.0546,166.4372,-22.9,98,53,2.01,RU,1713371152
4,margaret river,-33.95,115.0667,18.47,48,0,5.54,AU,1713371152
5,iskateley,67.6803,53.1512,-16.1,86,99,9.83,RU,1713371152
6,kavaratti,10.5669,72.642,29.56,73,100,3.51,IN,1713371152
7,kochubey,44.3861,46.5825,14.7,70,87,5.7,RU,1713370905
8,boca suno,-0.7167,-77.1333,24.77,59,87,1.44,EC,1713371152
9,olonkinbyen,70.9221,-8.7187,-5.97,86,100,5.73,SJ,1713371152
10,muravlenko,63.7898,74.523,0.03,99,100,4.48,RU,1713371152
11,west island,-12.1568,96.8225,27.99,89,40,4.12,CC,1713371153
12,zavolzhsk,57.4823,42.1378,6.43,93,100,1.79,RU,1713371153
13,fort st. john,56.2499,-120.8529,2.02,44,81,0.84,CA,1713371153
14,revda,56.801,59.9303,8.01,76,100,2.15,RU,1713371153
15,island harbour,50.724,-1.2758,13.04,66,100,5.88,GB,1713371153
16,adamstown,-25.066,-130.1015,22.01,69,92,10.97,PN,1713371153
17,usinsk,65.9939,57.5281,-12.45,91,100,7.15,RU,1713371153
18,shenjiamen,29.9576,122.298,11.81,88,59,5.47,CN,1713371153
19,vrangel',42.7297,133.0839,6.45,84,46,2.5,RU,1713371153
20,yellowknife,62.456,-114.3525,-4.21,68,10,2.41,CA,1713371067
21,crane,31.3974,-102.3501,25.14,9,100,1.68,US,1713371153
22,petropavlovsk-kamchatsky,53.0452,158.6483,0.43,94,100,2.0,RU,1713371153
23,blackmans bay,-43.0167,147.3167,11.07,78,76,0.89,AU,1713371153
24,hilo,19.7297,-155.09,20.85,94,75,2.06,US,1713370999
25,guiuan,11.0333,125.7247,28.35,73,29,5.12,PH,1713371154
26,mahalapye,-23.1041,26.8142,22.82,47,94,3.64,BW,1713371154
27,port lincoln,-34.7333,135.8667,14.15,78,1,4.34,AU,1713371154
28,klaksvik,62.2266,-6.589,5.51,66,70,6.64,FO,1713371154
29,bethel,41.3712,-73.414,16.44,48,100,4.12,US,1713371062
30,maceio,-9.6658,-35.7353,31.69,84,75,4.12,BR,1713370985
31,edinburgh of the seven seas,-37.0676,-12.3116,13.74,79,100,10.92,SH,1713371154
32,termoli,41.9888,14.9895,13.77,57,100,8.08,IT,1713371154
33,colonia,50.9333,6.95,10.32,71,75,1.54,DE,1713371137
34,kulhudhuffushi,6.6221,73.07,29.5,72,90,1.99,MV,1713371154
35,olinda,-8.0089,-34.8553,30.85,70,40,6.69,BR,1713371154
36,georgetown,5.4112,100.3354,28.97,76,20,1.54,MY,1713370993
37,bredasdorp,-34.5322,20.0403,20.08,70,17,4.89,ZA,1713371154
38,saudarkrokur,65.7461,-19.6394,0.42,97,91,0.84,IS,1713371154
39,chaoyang,41.5703,120.4586,17.6,31,1,2.69,CN,1713371154
40,udachny,66.4167,112.4,-4.75,84,100,9.72,RU,1713371154
41,lospalos,-8.5186,127.0025,21.74,99,100,1.75,TL,1713371154
42,santa marta,11.2408,-74.199,34.03,66,20,4.12,CO,1713370951
43,isafjordur,66.0755,-23.124,4.02,60,0,0.0,IS,1713371155
44,utrik,11.2278,169.8474,26.58,80,99,8.56,MH,1713371155
45,zakopane,49.299,19.9489,4.3,95,99,2.94,PL,1713371001
46,port alfred,-33.5906,26.891,24.03,72,1,6.55,ZA,1713371155
47,portland,45.5234,-122.6762,9.6,77,0,2.06,US,1713370747
48,hermansverk,61.1846,6.8502,8.25,38,20,3.6,NO,1713371155
49,jeddah,21.5169,39.2192,29.92,42,0,3.09,SA,1713371155
50,doka,13.5167,35.7667,36.96,8,84,4.15,SD,1713371155
51,puerto ayora,-0.7393,-90.3518,27.98,92,98,3.13,EC,1713371155
52,rajanpur,29.1035,70.325,30.32,31,95,0.67,PK,1713371155
53,hamilton,39.1834,-84.5333,22.97,75,75,12.86,US,1713370741
54,puerto natales,-51.7236,-72.4875,15.25,55,75,7.2,CL,1713370864
55,hawaiian paradise park,19.5933,-154.9731,20.73,97,75,2.06,US,1713371155
56,al bawiti,28.3492,28.8659,34.2,8,1,6.88,EG,1713371155
57,lorengau,-2.0226,147.2712,27.52,81,92,2.38,PG,1713371155
58,gobabis,-22.45,18.9667,28.62,20,0,3.48,NA,1713371156
59,rignano flaminio,42.2063,12.4794,17.5,52,39,4.25,IT,1713371156
60,moyynkum,44.2914,72.9469,17.14,51,10,1.62,KZ,1713371156
61,anadyr,64.75,177.4833,-20.72,71,0,4.0,RU,1713371156
62,achacachi,-16.05,-68.6833,12.15,47,100,4.12,BO,1713371156
63,grytviken,-54.2811,-36.5092,4.99,90,94,3.49,GS,1713371156
64,nemuro,43.3236,145.575,4.36,97,100,2.2,JP,1713371156
65,mar del plata,-38.0023,-57.5575,20.85,55,0,9.39,AR,1713370627
66,tumpat,6.1978,102.171,28.99,79,20,2.06,MY,1713371156
67,iwanai,42.9744,140.5089,10.04,99,100,0.86,JP,1713371156
68,anda,46.4,125.3167,14.93,39,66,3.92,CN,1713371156
69,susuman,62.7833,148.1667,-12.79,96,82,1.34,RU,1713371156
70,belaya kholunitsa,58.84,50.8528,7.92,92,100,3.43,RU,1713371156
71,maragogi,-9.0122,-35.2225,30.36,64,99,4.06,BR,1713371156
